province_state,confirmed,recovered,deaths,active,incident_rate,date,n,s(t),i(t),r(t)
michigan,538121,363611.0,13306,161204.0,5388.291831954738,2021-01-03,9986857.0,9448736.0,161204.0,376917.0
minnesota,417832,398199.0,5436,14197.0,7408.852208796602,2021-01-03,5639632.0,5221800.0,14197.0,403635.0
mississippi,220277,167263.0,4840,48174.0,7401.410346054583,2021-01-03,2976149.0,2755872.0,48174.0,172103.0
missouri,448387,,5751,,7305.780206301401,2021-01-03,6137428.0,5689041.0,,
montana,81944,75974.0,971,4999.0,7667.073985430089,2021-01-03,1068778.0,986834.0,4999.0,76945.0
nebraska,168262,109705.0,1669,56888.0,8698.371801605452,2021-01-03,1934408.0000000002,1766146.0000000002,56888.0,111374.0
nevada,228871,,3148,,7430.500273362778,2021-01-03,3080156.0,2851285.0,,
new hampshire,46614,37947.0,769,7898.0,3428.228498555943,2021-01-03,1359711.0,1313097.0,7898.0,38716.0
new jersey,541202,56575.0,19187,465440.0,6093.114423357302,2021-01-03,8882190.0,8340988.0,465440.0,75762.0
new mexico,145379,67573.0,2534,75272.0,6933.27877475941,2021-01-03,2096829.0,1951450.0,75272.0,70107.0
new york,1011665,103828.0,38093,869744.0,5200.410351606063,2021-01-03,19453561.0,18441896.0,869744.0,141921.0
north carolina,558437,403488.0,6892,148057.0,5324.490154731789,2021-01-03,10488084.0,9929647.0,148057.0,410380.0
north dakota,92376,89582.0,1317,1992.0,12189.428156764148,2021-01-03,757837.0273977027,665461.0273977027,1992.0,90899.0
northern mariana islands,122,29.0,2,91.0,221.2389380530973,2021-01-03,55144.00000000001,55022.00000000001,91.0,31.0
ohio,714673,573641.0,13919,127113.0,6114.012199399441,2021-01-03,11689100.0,10974427.0,127113.0,587560.0
oklahoma,296343,259841.0,2527,33975.0,7489.137524636901,2021-01-03,3956971.0,3660628.0,33975.0,262368.0
oregon,116348,5870.0,1492,108986.0,2758.540895271564,2021-01-03,4217737.0,4101389.0,108986.0,7362.0
pennsylvania,664966,453531.0,16273,195162.0,5194.239738840582,2021-01-03,12801989.0,12137023.0,195162.0,469804.0
puerto rico,77932,68340.0,1526,8066.0,2440.1836869781514,2021-01-03,3193694.0,3115762.0,8066.0,69866.0
rhode island,87949,5381.0,1957,80611.0,8302.080216281325,2021-01-03,1059361.0,971412.0,80611.0,7338.0
south carolina,312718,152535.0,5385,154798.0,6073.710833423647,2021-01-03,5148714.0,4835996.0,154798.0,157920.0
south dakota,99829,92595.0,1501,5733.0,11284.461018313272,2021-01-03,884658.9999999999,784829.9999999999,5733.0,94096.0
tennessee,599352,523089.0,6970,69462.0,8778.821567586358,2021-01-03,6827248.912461783,6227896.912461783,69462.0,530059.0
texas,1827427,1443061.0,28570,353053.0,6292.466160969553,2021-01-03,29041506.990296267,27214079.990296267,353053.0,1471631.0
utah,281654,230287.0,1294,50073.0,8785.330313123253,2021-01-03,3205958.0,2924304.0,50073.0,231581.0
vermont,7689,5188.0,139,2362.0,1232.2332605222207,2021-01-03,623989.0,616300.0,2362.0,5327.0
virgin islands,2041,1901.0,23,117.0,1902.7109669239665,2021-01-03,107267.99999999999,105226.99999999999,117.0,1924.0
virginia,358755,31182.0,5117,322456.0,4203.083608624151,2021-01-03,8535519.0,8176764.0,322456.0,36299.0
washington,246752,,3461,,3240.3869627583736,2021-01-03,7614893.0,7368141.0,,
west virginia,89327,61120.0,1373,26834.0,4984.356751985189,2021-01-03,1792147.0,1702820.0,26834.0,62493.0
wisconsin,523652,452502.0,5256,65894.0,8993.695763661726,2021-01-03,5822434.0,5298782.0,65894.0,457758.0
wyoming,44573,43037.0,438,1098.0,7701.478508325573,2021-01-03,578759.0,534186.0,1098.0,43475.0
alabama,371934,202137.0,4873,164924.0,7585.559182449775,2021-01-04,4903185.0,4531251.0,164924.0,207010.0
alaska,48118,7165.0,215,40738.0,6577.585794448735,2021-01-04,731545.0,683427.0,40738.0,7380.0
american samoa,0,,0,,0.0,2021-01-04,,,,
arizona,556384,78690.0,9061,468633.0,7643.984509907446,2021-01-04,7278717.0,6722333.0,468633.0,87751.0
arkansas,233475,203701.0,3749,26025.0,7736.585941300363,2021-01-04,3017804.0,2784329.0,26025.0,207450.0
california,2512665,,26661,,6361.120203234325,2021-01-04,39500354.0213315,36987689.0213315,,
colorado,366506,18305.0,5464,318011.0,5925.779546067053,2021-01-04,6184941.527958975,5818435.527958975,318011.0,23769.0
connecticut,190120,9800.0,6099,174221.0,5332.530031944132,2021-01-04,3565287.0,3375167.0,174221.0,15899.0
delaware,59484,18851.0,1080,39553.0,6108.666987072843,2021-01-04,973764.0,914280.0,39553.0,19931.0
diamond princess,49,,0,,,2021-01-04,,,,
district of columbia,29764,21072.0,794,7898.0,4217.363396901731,2021-01-04,705749.0000000001,675985.0000000001,7898.0,21866.0
florida,1365436,,21987,,6357.448179945587,2021-01-04,21477737.0,20112301.0,,
georgia,690900,,10964,,6507.228731491625,2021-01-04,10617423.0,9926523.0,,
grand princess,103,,3,,,2021-01-04,,,,
guam,7326,7047.0,122,157.0,4460.844308861407,2021-01-04,164229.0,156903.0,157.0,7169.0
hawaii,22560,11958.0,289,10313.0,1593.3643719206257,2021-01-04,1415872.0,1393312.0,10313.0,12247.0
idaho,142507,60164.0,1448,80895.0,7974.360193949296,2021-01-04,1787065.0,1644558.0,80895.0,61612.0
illinois,979821,,18322,,7732.282518826615,2021-01-04,12671821.0,11692000.0,,
indiana,526071,348425.0,9625,168021.0,7814.228859756345,2021-01-04,6732219.0,6206148.0,168021.0,358050.0
iowa,284715,244021.0,3946,36748.0,9024.04701005049,2021-01-04,3155070.0,2870355.0,36748.0,247967.0
kansas,229983,4612.0,2893,222614.0,7898.873928453988,2021-01-04,2911592.2355911504,2681609.2355911504,222614.0,7505.0
kentucky,276825,37375.0,2723,236727.0,6196.178637066769,2021-01-04,4467673.0,4190848.0,236727.0,40098.0
louisiana,321058,263712.0,7537,49809.0,6906.264291340937,2021-01-04,4648794.0,4327736.0,49809.0,271249.0
maine,25592,11465.0,359,13768.0,1903.8663544143333,2021-01-04,1344212.0000000002,1318620.0000000002,13768.0,11824.0
maryland,285319,9378.0,5994,269947.0,4719.386404837835,2021-01-04,6045680.0,5760361.0,269947.0,15372.0
massachusetts,387662,261672.0,10683,113380.0,5624.400888907847,2021-01-04,6892503.0,6504841.0,113380.0,272355.0
michigan,538121,363611.0,13306,161204.0,5388.291831954738,2021-01-04,9986857.0,9448736.0,161204.0,376917.0
minnesota,420544,403419.0,5489,11636.0,7456.940452852243,2021-01-04,5639632.0,5219088.0,11636.0,408908.0
mississippi,222061,167263.0,4871,49927.0,7461.353581423511,2021-01-04,2976149.0,2754088.0,49927.0,172134.0
missouri,451605,,5770,,7358.212593288264,2021-01-04,6137428.0,5685823.0,,
montana,82381,76501.0,972,4908.0,7707.961803105977,2021-01-04,1068778.0,986397.0,4908.0,77473.0
nebraska,169000,105963.0,1672,61365.0,8736.523008589707,2021-01-04,1934408.0000000002,1765408.0000000002,61365.0,107635.0
nevada,231614,,3180,,7519.554204397439,2021-01-04,3080156.0,2848542.0,,
new hampshire,47376,39574.0,780,7022.0,3484.269819101265,2021-01-04,1359711.0,1312335.0,7022.0,40354.0
new jersey,545450,56873.0,19208,469369.0,6140.940466258884,2021-01-04,8882190.0,8336740.0,469369.0,76081.0
new mexico,146394,68876.0,2551,74967.0,6981.685201797572,2021-01-04,2096829.0,1950435.0,74967.0,71427.0
new york,1023897,104402.0,38239,881256.0,5263.288299761673,2021-01-04,19453561.0,18429664.0,881256.0,142641.0
north carolina,564924,403488.0,6910,154526.0,5386.341299325978,2021-01-04,10488084.0,9923160.0,154526.0,410398.0
north dakota,92559,89879.0,1317,1845.0,12209.111594594666,2021-01-04,758114.1288034307,665555.1288034307,1845.0,91196.0
northern mariana islands,122,29.0,2,91.0,221.2389380530973,2021-01-04,55144.00000000001,55022.00000000001,91.0,31.0
ohio,721481,579583.0,14053,127845.0,6172.2544935024935,2021-01-04,11689100.0,10967619.0,127845.0,593636.0
oklahoma,304375,265293.0,2547,36535.0,7692.121069373518,2021-01-04,3956971.0,3652596.0,36535.0,267840.0
oregon,117745,5870.0,1500,110375.0,2791.6629225577603,2021-01-04,4217737.0,4099992.0,110375.0,7370.0
pennsylvania,669818,453531.0,16331,199956.0,5232.140099479854,2021-01-04,12801989.0,12132171.0,199956.0,469862.0
puerto rico,78169,68661.0,1545,7963.0,2447.604560737504,2021-01-04,3193693.999999999,3115524.999999999,7963.0,70206.0
rhode island,87949,5381.0,1974,80594.0,8302.080216281325,2021-01-04,1059361.0,971412.0,80594.0,7355.0
south carolina,321669,154943.0,5469,161257.0,6247.560070339895,2021-01-04,5148714.0,4827045.0,161257.0,160412.0
south dakota,100532,93031.0,1513,5988.0,11363.926665528752,2021-01-04,884659.0,784127.0,5988.0,94544.0
tennessee,602854,526966.0,7025,69039.0,8830.204062746096,2021-01-04,6827180.841079216,6224326.841079216,69039.0,533991.0
texas,1843572,1451846.0,28600,360309.0,6347.97404500315,2021-01-04,29041895.680893335,27198323.680893335,360309.0,1480446.0
utah,283473,232355.0,1301,49817.0,8842.068423853338,2021-01-04,3205958.0,2922485.0,49817.0,233656.0
vermont,7793,5272.0,140,2381.0,1248.9002209974856,2021-01-04,623989.0,616196.0,2381.0,5412.0
virgin islands,2042,1920.0,23,99.0,1903.6432113957565,2021-01-04,107268.0,105226.0,99.0,1943.0
virginia,363765,31368.0,5124,327273.0,4261.779512177292,2021-01-04,8535518.999999998,8171753.999999998,327273.0,36492.0
washington,255396,,3459,,3353.901361450516,2021-01-04,7614892.999999998,7359496.999999998,,
west virginia,91058,62264.0,1376,27418.0,5080.944810888839,2021-01-04,1792147.0,1701089.0,27418.0,63640.0
wisconsin,526245,454850.0,5261,66134.0,9038.230403298689,2021-01-04,5822434.0,5296189.0,66134.0,460111.0
wyoming,44875,43068.0,438,1369.0,7753.65912236354,2021-01-04,578759.0,533884.0,1369.0,43506.0
alabama,374095,202137.0,4878,167080.0,7629.632575560579,2021-01-05,4903185.0,4529090.0,167080.0,207015.0
alaska,48382,7165.0,218,40999.0,6613.673799971293,2021-01-05,731545.0,683163.0,40999.0,7383.0
american samoa,0,,0,,0.0,2021-01-05,,,,
arizona,561542,79480.0,9064,472998.0,7714.848647089865,2021-01-05,7278717.0,6717175.0,472998.0,88544.0
arkansas,234781,207898.0,3800,23083.0,7779.862443021482,2021-01-05,3017804.0,2783023.0,23083.0,211698.0
california,2549560,,26940,,6454.893717318815,2021-01-05,39498094.18487245,36948534.18487245,,
colorado,370153,18403.0,5503,320088.0,5963.721900083629,2021-01-05,6206744.818111142,5836591.818111142,320088.0,23906.0
connecticut,194636,9800.0,6168,178668.0,5459.195851554166,2021-01-05,3565287.0,3370651.0,178668.0,15968.0
delaware,60333,18851.0,1085,40397.0,6195.854437009378,2021-01-05,973764.0,913431.0,40397.0,19936.0
diamond princess,49,,0,,,2021-01-05,,,,
district of columbia,29904,21127.0,797,7980.0,4237.200477790263,2021-01-05,705748.9999999999,675844.9999999999,7980.0,21924.0
florida,1376692,,22090,,6409.85593593962,2021-01-05,21477736.999999996,20101044.999999996,,
georgia,696063,,10971,,6555.856350453401,2021-01-05,10617423.0,9921360.0,,
grand princess,103,,3,,,2021-01-05,,,,
guam,7344,7089.0,122,133.0,4471.804614288585,2021-01-05,164229.0,156885.0,133.0,7211.0
hawaii,22602,11958.0,289,10355.0,1596.3307417619671,2021-01-05,1415872.0,1393270.0,10355.0,12247.0
idaho,143305,60820.0,1459,81026.0,8019.014417494607,2021-01-05,1787065.0,1643760.0,81026.0,62279.0
illinois,984880,,18412,,7772.20574690883,2021-01-05,12671821.0,11686941.0,,
indiana,529688,351569.0,9735,168384.0,7867.955573043599,2021-01-05,6732219.0,6202531.0,168384.0,361304.0
iowa,286356,244677.0,3992,37687.0,9076.058534358985,2021-01-05,3155070.0,2868714.0,37687.0,248669.0
kansas,233702,4643.0,2911,226515.0,8034.458352240781,2021-01-05,2908746.1749655018,2675044.1749655018,226515.0,7554.0
kentucky,279142,37455.0,2749,238938.0,6248.040087087842,2021-01-05,4467673.0,4188531.0,238938.0,40204.0
louisiana,322181,263712.0,7585,50884.0,6930.4210941590445,2021-01-05,4648794.0,4326613.0,50884.0,271297.0
maine,25967,11548.0,361,14058.0,1931.7637396482105,2021-01-05,1344211.9999999998,1318244.9999999998,14058.0,11909.0
maryland,287802,9383.0,6027,272392.0,4760.457053631684,2021-01-05,6045680.0,5757878.0,272392.0,15410.0
massachusetts,392568,261672.0,10739,118225.0,5695.579675482187,2021-01-05,6892503.0,6499935.0,118225.0,272411.0
michigan,543611,363611.0,13391,166609.0,5443.26408198295,2021-01-05,9986857.0,9443246.0,166609.0,377002.0
minnesota,423688,405556.0,5502,12630.0,7512.688771182233,2021-01-05,5639632.0,5215944.0,12630.0,411058.0
mississippi,223677,182103.0,4884,36690.0,7515.651938125409,2021-01-05,2976149.0,2752472.0,36690.0,186987.0
missouri,454015,,5772,,7397.479856382836,2021-01-05,6137428.0,5683413.0,,
montana,82664,76633.0,975,5056.0,7734.440641555122,2021-01-05,1068778.0,986114.0,5056.0,77608.0
nebraska,169585,112856.0,1682,55047.0,8766.764819004056,2021-01-05,1934408.0000000002,1764823.0000000002,55047.0,114538.0
nevada,233032,,3206,,7565.5908337110195,2021-01-05,3080156.0,2847124.0,,
new hampshire,47870,40347.0,781,6742.0,3520.6010689036125,2021-01-05,1359711.0,1311841.0,6742.0,41128.0
